Region 82 Avg IOU: 0.221568, Class: 0.905096, Obj: 0.530932, No Obj: 0.420674, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.216467, Class: 0.896658, Obj: 0.750932, No Obj: 0.419020, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.052567, Class: 0.562741, Obj: 0.469915, No Obj: 0.419865, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.213564, Class: 0.837155, Obj: 0.829457, No Obj: 0.418074, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.247664, Class: 0.524928, Obj: 0.413257, No Obj: 0.418037, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.500704, Class: 0.935024, Obj: 0.250067, No Obj: 0.415768, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.004062, Class: 0.027043, Obj: 0.167551, No Obj: 0.417681, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.746157, Class: 0.797156, Obj: 0.923654, No Obj: 0.418917, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.187590, Class: 0.177213, Obj: 0.054194, No Obj: 0.417892, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.472204, Class: 0.969501, Obj: 0.228765, No Obj: 0.421867, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.257856, Class: 0.440092, Obj: 0.604135, No Obj: 0.417985, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.104958, Class: 0.528713, Obj: 0.227397, No Obj: 0.416825, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.083109, Class: 0.207624, Obj: 0.705720, No Obj: 0.421337, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.085096, Class: 0.940294, Obj: 0.360256, No Obj: 0.417262, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.193469, Class: 0.659594, Obj: 0.842014, No Obj: 0.417016, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.252469, Class: 0.190632, Obj: 0.483917, No Obj: 0.418798, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.417975, Class: 0.750086, Obj: 0.709499, No Obj: 0.417832, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.018760, Class: 0.298814, Obj: 0.540860, No Obj: 0.416453, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.469885, Class: 0.120166, Obj: 0.439780, No Obj: 0.420259, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.084474, Class: 0.456397, Obj: 0.364119, No Obj: 0.418179, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.607264, Class: 0.843188, Obj: 0.445103, No Obj: 0.419425, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.199663, Class: 0.613719, Obj: 0.373854, No Obj: 0.417430, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.033201, Class: 0.515755, Obj: 0.683200, No Obj: 0.420568, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.269561, Class: 0.349264, Obj: 0.667176, No Obj: 0.419652, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.070510, Class: 0.633806, Obj: 0.899570, No Obj: 0.419472, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.027562, Class: 0.606714, Obj: 0.378686, No Obj: 0.423359, .5R: 0.000000, .75R: 0.000000,  count: 1
